objid,datetime,datetime_raw,parent,type,type_raw,name,status,status_raw,message,message_raw
6815,10-05-2024 14:18:27,45422.3669856481,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/28 Traffic to MCX-14 UPLINK,Up,607,"<div class=""logmessage"">9.89 Mbit/s<div class=""moreicon""></div></div>",9.89 Mbit/s
6718,10-05-2024 14:18:22,45422.3669227199,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/24 Traffic to MCX-12 UPLINK,Up,607,"<div class=""logmessage"">7.80 Mbit/s<div class=""moreicon""></div></div>",7.80 Mbit/s
4352,10-05-2024 14:18:21,45422.3669149653,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/1 Traffic to MCX-1 UPLINK,Up,607,"<div class=""logmessage"">20 Mbit/s<div class=""moreicon""></div></div>",20 Mbit/s
4354,10-05-2024 14:18:21,45422.3669111690,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/3 Traffic to MCX-2 UPLINK,Up,607,"<div class=""logmessage"">17 Mbit/s<div class=""moreicon""></div></div>",17 Mbit/s
6717,10-05-2024 14:18:14,45422.3668314699,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/22 Traffic to MCX-11 UPLINK,Up,607,"<div class=""logmessage"">5.95 Mbit/s<div class=""moreicon""></div></div>",5.95 Mbit/s
4360,10-05-2024 14:18:13,45422.3668185532,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/9 Traffic to MCX-5 UPLINK,Up,607,"<div class=""logmessage"">17 Mbit/s<div class=""moreicon""></div></div>",17 Mbit/s
4561,10-05-2024 14:18:08,45422.3667632523,Cisco 31108 @ BHANDUP (172.16.9.1)(9.9.9.1),Cisco IP SLA,ipsla,Eth-1/47 IP-SLA BHANDUP to BKC (172.3.4.1) to (172.3.4.2),Up,607,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>",1 msec
7204,10-05-2024 14:17:53,45422.3665920255,Cisco 31108 @NSE-PHASE-4 (172.16.4.1),Cisco IP SLA,ipsla,ip sla Eth1/49_UPLINK_P4_4.1_Eth1/49_TO_P4_4.4.4.5_Eth2/1,Up,607,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>",1 msec
6718,10-05-2024 14:17:52,45422.3665753819,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/24 Traffic to MCX-12 UPLINK,Down,608,"<div class=""logmessage"">171 #/s (Discards Out) is above the error limit of 2 #/s in Discards Out<div class=""moreicon""></div></div>",171 #/s (Discards Out) is above the error limit of 2 #/s in Discards Out
6971,10-05-2024 14:17:49,45422.3665420486,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/16 Traffic to MCX-16 UPLINK_10G,Up,607,"<div class=""logmessage"">51 Mbit/s<div class=""moreicon""></div></div>",51 Mbit/s
6717,10-05-2024 14:17:44,45422.3664854630,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/22 Traffic to MCX-11 UPLINK,Down,608,"<div class=""logmessage"">171 #/s (Discards Out) is above the error limit of 2 #/s in Discards Out<div class=""moreicon""></div></div>",171 #/s (Discards Out) is above the error limit of 2 #/s in Discards Out
4360,10-05-2024 14:17:43,45422.3664701389,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,snmptraffic,Eth1/9 Traffic to MCX-5 UPLINK,Down,608,"<div class=""logmessage"">171 #/s (Discards Out) is above the error limit of 2 #/s in Discards Out<div class=""moreicon""></div></div>",171 #/s (Discards Out) is above the error limit of 2 #/s in Discards Out
